filename, Diarrhea, Lack-of-Water, Normal, Soft-Poop
D-33_jpg.rf.627ae6b1db22966f4ba57eb584170b5e.jpg, 1, 0, 0, 0
N-48_jpg.rf.635b0cf0a91580694a34f3225d4812d9.jpg, 0, 0, 1, 0
SP-77_jpg.rf.62cb1d48aed6e3ab208856fcd70ce6ba.jpg, 0, 0, 0, 1
SP-45_jpg.rf.6338ae6ee4509c878c70fc67a2297b93.jpg, 0, 0, 0, 1
SP-193_jpg.rf.633e98c088666a97705b881fe91aac8d.jpg, 0, 0, 0, 1
D-180_jpg.rf.638a8071c0ee293a9cc9298af41c0b3d.jpg, 1, 0, 0, 0
LW-198_jpg.rf.62d75cca24b6361097200221eede97c2.jpg, 0, 1, 0, 0
N-2_jpg.rf.638f232598f2ae3ace2204ff84f50b3e.jpg, 0, 0, 1, 0
N-100_jpg.rf.638337ca3a758c6cd615452184e59b88.jpg, 0, 0, 1, 0
LW-180_jpg.rf.628d243426b84f0373c58a5d96cc5bca.jpg, 0, 1, 0, 0
LW-197_jpg.rf.62d72ef87b4c4943324b78dd644d4806.jpg, 0, 1, 0, 0
D-84_jpg.rf.62bf5da88099923582139525426cd8c9.jpg, 1, 0, 0, 0
N-156_jpg.rf.62bd2a0b409def439a657557d406d415.jpg, 0, 0, 1, 0
LW-10_jpg.rf.62accc3e449a97f6e1830b10cb129daa.jpg, 0, 1, 0, 0
SP-52_jpg.rf.638c9312f83c9d188a30b1401be8eea0.jpg, 0, 0, 0, 1
N-56_jpg.rf.62800ceedbad74188b4492a70b865f2c.jpg, 0, 0, 1, 0
SP-113_jpg.rf.629b0e5554e327c8169bb9ef8190c173.jpg, 0, 0, 0, 1
D-10_jpg.rf.634f7e39ad23e1dcd7ef93e1fc4a52f0.jpg, 1, 0, 0, 0
LW-41_jpg.rf.6311b733ac71a24b034fee3426e678e1.jpg, 0, 1, 0, 0
LW-10_jpg.rf.63548400a0fe61263ad65053a3d0fe0f.jpg, 0, 1, 0, 0
D-179_jpg.rf.63839dae26a90df3ef8bf9e774f77ba8.jpg, 1, 0, 0, 0
SP-82_jpg.rf.639d202bafb88fedae77539b38270bf8.jpg, 0, 0, 0, 1
SP-199_jpg.rf.63d607dc676cb7a4cb0fb30680430676.jpg, 0, 0, 0, 1
SP-200_jpg.rf.63a2f1e784760bc8f1751640bd02d81e.jpg, 0, 0, 0, 1
LW-103_jpg.rf.638f7f921ae151c0a9d57780e5c733c9.jpg, 0, 1, 0, 0
SP-39_jpg.rf.63f9499da557732f83fe575798a613d7.jpg, 0, 0, 0, 1
SP-30_jpg.rf.6418af188c2b5ddf41d39211f42619e6.jpg, 0, 0, 0, 1
SP-10_jpg.rf.63effd97a7e5101fd429ddde3d56d89d.jpg, 0, 0, 0, 1
SP-42_jpg.rf.645832852043c4c5efd8e10ce823cc34.jpg, 0, 0, 0, 1
D-27_jpg.rf.647204a9754daafe20382070c893b559.jpg, 1, 0, 0, 0
N-14_jpg.rf.641635451854cfd37adbd2dab895a652.jpg, 0, 0, 1, 0
SP-125_jpg.rf.6478a1ded9b2ff9e2df46c4fc6c05b88.jpg, 0, 0, 0, 1
N-74_jpg.rf.6467d17786efec532f284fe67b349e98.jpg, 0, 0, 1, 0
D-26_jpg.rf.64534781ec5dff2d97929b68b7dd45cb.jpg, 1, 0, 0, 0
N-60_jpg.rf.64938a51afc4498cab6ca5159ff65cbe.jpg, 0, 0, 1, 0
N-8_jpg.rf.647861023f8f5760c8e2a98aeeaf8fd3.jpg, 0, 0, 1, 0
LW-173_jpg.rf.649669878477eb10b2adb543b7f30baa.jpg, 0, 1, 0, 0
LW-47_jpg.rf.63e670219b3ce39710233131aabd3c77.jpg, 0, 1, 0, 0
D-2_jpg.rf.64abcff2a3bbd5a55b50a6a0dc6c8317.jpg, 1, 0, 0, 0
LW-54_jpg.rf.6432879efaa055a414f8930ff962b033.jpg, 0, 1, 0, 0
N-31_jpg.rf.645fea10109ff2bbb1278fa4bcf8f877.jpg, 0, 0, 1, 0
SP-103_jpg.rf.64a28877aea96ddca9641072ad955812.jpg, 0, 0, 0, 1
LW-14_jpg.rf.64c5606b737af3233edf60627ec21e19.jpg, 0, 1, 0, 0
LW-167_jpg.rf.64bd78d5e2ad66740177e0191c2813d3.jpg, 0, 1, 0, 0
LW-33_jpg.rf.64f3088c2f6ddfa308a5705922d97d37.jpg, 0, 1, 0, 0
D-194_jpg.rf.642ae2f32ea5c769d8b830e166c43d9e.jpg, 1, 0, 0, 0
N-28_jpg.rf.64f0eff89c64de9b324a04b73b872bbf.jpg, 0, 0, 1, 0
N-179_jpg.rf.64e2a2d03d3d7aa15e3ecce924980222.jpg, 0, 0, 1, 0
SP-20_jpg.rf.64fc5a3f77a9ad8854e5e3b2c3bd13a1.jpg, 0, 0, 0, 1
D-55_jpg.rf.64ffbdda60dad280f1d6ca85284ac186.jpg, 1, 0, 0, 0
D-68_jpg.rf.6546cdc4feae8742168a273e54384e0c.jpg, 1, 0, 0, 0
SP-124_jpg.rf.656c70100ef6ad111caa47e843028721.jpg, 0, 0, 0, 1
LW-156_jpg.rf.65975a2be512fece64d91407977e4476.jpg, 0, 1, 0, 0
LW-10_jpg.rf.6509e6760df7262207c39f992080a447.jpg, 0, 1, 0, 0
SP-133_jpg.rf.659df4f6120035beba920fdf60004eb9.jpg, 0, 0, 0, 1
D-160_jpg.rf.6587be91f21720b1acf8d15216b69df6.jpg, 1, 0, 0, 0
SP-51_jpg.rf.656c2ed821c3ee5f0d34b151fac9967c.jpg, 0, 0, 0, 1
N-65_jpg.rf.659dfaa5ec6a37ca874d8067b32d490a.jpg, 0, 0, 1, 0
LW-13_jpg.rf.654883f3f68548a625a4382be9e22da8.jpg, 0, 1, 0, 0
SP-6_jpg.rf.65336367cb8e9765bdfde53d4aec503b.jpg, 0, 0, 0, 1
SP-55_jpg.rf.65bae1b70a1d14c5e497645e139fd703.jpg, 0, 0, 0, 1
N-136_jpg.rf.6566cbb9815d4ebd63a640376a7bc5d6.jpg, 0, 0, 1, 0
SP-132_jpg.rf.65e1d672ff20a7a05fd1021de377e204.jpg, 0, 0, 0, 1
D-41_jpg.rf.65c2dc3df3ec0a2d36eab8d51994635c.jpg, 1, 0, 0, 0
SP-158_jpg.rf.65bf01f0de40a4b283af4a82849d2f9a.jpg, 0, 0, 0, 1
N-46_jpg.rf.65bf8d45048a54c195e7dba4e8b118cf.jpg, 0, 0, 1, 0
SP-147_jpg.rf.6524b3c2318a7b7fa5fd0f7e47dace89.jpg, 0, 0, 0, 1
LW-12_jpg.rf.65d669e19e171a62ee9c975353836b80.jpg, 0, 1, 0, 0
SP-162_jpg.rf.656d56a5901794023f4db9628a460af2.jpg, 0, 0, 0, 1
N-128_jpg.rf.65dde08b1e2200f1747c0c55dc4e206f.jpg, 0, 0, 1, 0
SP-158_jpg.rf.65783144ee71acf0c84b1ef250acd1ca.jpg, 0, 0, 0, 1
D-1_jpg.rf.65ef961ab736f2ed61c01666c15693fd.jpg, 1, 0, 0, 0
N-94_jpg.rf.65c62b62f57d059de8b04d6cfcc32ec7.jpg, 0, 0, 1, 0
D-132_jpg.rf.661db541f2af55c3689eb860374f4f51.jpg, 1, 0, 0, 0
N-31_jpg.rf.66181ac585f433216617483652c4bcae.jpg, 0, 0, 1, 0
D-206_jpg.rf.663296dd5e30376f209261c69942348c.jpg, 1, 0, 0, 0
LW-195_jpg.rf.663945109ac5b56ece44dfdac02067ca.jpg, 0, 1, 0, 0
N-126_jpg.rf.662b9ffed78c82594d4aee1826a29c47.jpg, 0, 0, 1, 0
LW-196_jpg.rf.664e2c6809572a6ad2f7ccfb2ca7b962.jpg, 0, 1, 0, 0
SP-53_jpg.rf.665f92cc6b0ab5d5c637d27d789d6a0d.jpg, 0, 0, 0, 1
D-123_jpg.rf.6661c559ca56ea9f8bb53b4d47e64373.jpg, 1, 0, 0, 0
D-139_jpg.rf.665812a6e9819aae516b1baedbaa72dd.jpg, 1, 0, 0, 0
N-93_jpg.rf.66afb45e1fe1a1e265ef038ef6daab10.jpg, 0, 0, 1, 0
SP-195_jpg.rf.6695ad109603daace8b4aa670072b365.jpg, 0, 0, 0, 1
D-81_jpg.rf.66ac18187088337d848948cc5f14c2be.jpg, 1, 0, 0, 0
N-180_jpg.rf.66a77562fc0614cc53b71dfccd7eabb2.jpg, 0, 0, 1, 0
SP-127_jpg.rf.66bbaad780e056b1cb22b3c105378b77.jpg, 0, 0, 0, 1
SP-186_jpg.rf.675089b09567b354e973587f91eb33a3.jpg, 0, 0, 0, 1
D-145_jpg.rf.66d7b6ef1e95d3a686e50c762eabf606.jpg, 1, 0, 0, 0
D-104_jpg.rf.66b87ca3f2d8c0293aff560d50743a7f.jpg, 1, 0, 0, 0
LW-187_jpg.rf.6798b984e6a3019fa6e1143cc752082f.jpg, 0, 1, 0, 0
SP-161_jpg.rf.676c337ff77167d3bb97bd3aa1afb17c.jpg, 0, 0, 0, 1
N-159_jpg.rf.66bf91b724481b89c07ba21db9b62fa6.jpg, 0, 0, 1, 0
N-35_jpg.rf.666ff4a21316e5f36687af35efc35db0.jpg, 0, 0, 1, 0
SP-35_jpg.rf.678a5401241891cefe18a478b3183d9d.jpg, 0, 0, 0, 1
LW-199_jpg.rf.66b2e960bb0db4f6af69b1ffbef195ec.jpg, 0, 1, 0, 0
LW-189_jpg.rf.672dfe67512c0064af70b1b6c36decab.jpg, 0, 1, 0, 0
SP-206_jpg.rf.66e0822f3120503705034d9925770021.jpg, 0, 0, 0, 1
D-31_jpg.rf.669016804b9fe2d0f4445096c5b3cb91.jpg, 1, 0, 0, 0
LW-199_jpg.rf.66c7bc6f6e77e568c65de6e63074c874.jpg, 0, 1, 0, 0
D-124_jpg.rf.66d19caca4eafe51b854316adb62ac71.jpg, 1, 0, 0, 0
LW-209_jpg.rf.67ad348600469ab32c301d26fdbf1eb7.jpg, 0, 1, 0, 0
D-18_jpg.rf.6744ad15d3945f3c32b79e01f33e4084.jpg, 1, 0, 0, 0
SP-151_jpg.rf.67d27114c0d311cf8a5bb0f7097f196b.jpg, 0, 0, 0, 1
N-36_jpg.rf.67043b9cb138967338c92b8f2bc0d079.jpg, 0, 0, 1, 0
SP-24_jpg.rf.67e8314fcce7d17d457f7260465f8078.jpg, 0, 0, 0, 1
SP-171_jpg.rf.67bd84d6f08e71b5a6eae14436039b94.jpg, 0, 0, 0, 1
LW-35_jpg.rf.67fa595705630ed2c1e87cf028381380.jpg, 0, 1, 0, 0
SP-11_jpg.rf.67ec1ccc9d87865a39777e89609aced1.jpg, 0, 0, 0, 1
D-185_jpg.rf.68007300a6380bf48dc0c17082aecfcc.jpg, 1, 0, 0, 0
N-8_jpg.rf.6800f1e2ee38bb9fc34977354b9501b5.jpg, 0, 0, 1, 0
D-155_jpg.rf.679e9a17e940e6724afbe35d7409bee2.jpg, 1, 0, 0, 0
SP-47_jpg.rf.68235f41e0703ddc25a8e87db6fb8681.jpg, 0, 0, 0, 1
LW-7_jpg.rf.67cfa63e6850408ee7daae8c4cc47e91.jpg, 0, 1, 0, 0
D-55_jpg.rf.68381d9b00efcf852eb04c4eeb3ce9b4.jpg, 1, 0, 0, 0
LW-152_jpg.rf.6851c439a6cd0fa1ab6b08e167697c7c.jpg, 0, 1, 0, 0
D-53_jpg.rf.6837f44ad37b1bf9ef79bc202af06c17.jpg, 1, 0, 0, 0
LW-12_jpg.rf.68a9ea9a14fa6b738bc9f034898a2ea6.jpg, 0, 1, 0, 0
SP-88_jpg.rf.68129059970149f4768de5af4a35d398.jpg, 0, 0, 0, 1
LW-185_jpg.rf.683f05f9a58456c7ad4f45400c7168ff.jpg, 0, 1, 0, 0
N-106_jpg.rf.688d341568c8c6e7a05ecdd2f59b625c.jpg, 0, 0, 1, 0
LW-25_jpg.rf.682e0b37d687c523443d5fa6ab45747a.jpg, 0, 1, 0, 0
N-129_jpg.rf.6850ab2b706f0e347b7642839bf226da.jpg, 0, 0, 1, 0
N-203_jpg.rf.687d3b9dd858870c54cbf6e7c01001c7.jpg, 0, 0, 1, 0
N-35_jpg.rf.68a2290969318f7f067a9a94d1834928.jpg, 0, 0, 1, 0
SP-110_jpg.rf.68bfe1532c89ccdc810cbc892c37d014.jpg, 0, 0, 0, 1
N-89_jpg.rf.68e411ef94027de28c4b04c7c270c1cc.jpg, 0, 0, 1, 0
SP-151_jpg.rf.6846152a8a86c2dbbd53d6ec280949ae.jpg, 0, 0, 0, 1
D-126_jpg.rf.6868b50d3aaceb98e5f832a3bfc41d53.jpg, 1, 0, 0, 0
LW-49_jpg.rf.68a3296df7a1dcb3e9100897b7fbadb5.jpg, 0, 1, 0, 0
SP-57_jpg.rf.68d17d661ed9fca9d8bb6264bc7596d2.jpg, 0, 0, 0, 1
SP-74_jpg.rf.68fee28b97d9bfb86df36002190ce518.jpg, 0, 0, 0, 1
LW-205_jpg.rf.68a9c522be365bc95d7ec182ab171d97.jpg, 0, 1, 0, 0
D-180_jpg.rf.68fb553875070570fa2a35afa4c542c4.jpg, 1, 0, 0, 0
D-136_jpg.rf.685aeb182f1c4904d0729f2cc92a369e.jpg, 1, 0, 0, 0
D-52_jpg.rf.68c765b5bf0123d3bd79c999dac4e58f.jpg, 1, 0, 0, 0
SP-23_jpg.rf.68d38f8a0c3b93e94c0bbbdadb1feaf3.jpg, 0, 0, 0, 1
LW-143_jpg.rf.682ec78b02d41ea6f9bb4ab453d471b3.jpg, 0, 1, 0, 0
SP-25_jpg.rf.69537185fc8972d8fb171390d6b695fd.jpg, 0, 0, 0, 1
SP-120_jpg.rf.693ed9b3b1275d696ccf0334d8376813.jpg, 0, 0, 0, 1
SP-129_jpg.rf.690e849850060e493883bfd3b72c52e7.jpg, 0, 0, 0, 1
SP-4_jpg.rf.69843d95d8f4bb67c7764f7dae13f1ee.jpg, 0, 0, 0, 1
D-195_jpg.rf.69e5b45f5e655e28d50990a47ddf3434.jpg, 1, 0, 0, 0
D-11_jpg.rf.694d5790ef116758d5baefacb982855a.jpg, 1, 0, 0, 0
N-3_jpg.rf.6977c97e82e1b75b68aa55643220976b.jpg, 0, 0, 1, 0
LW-44_jpg.rf.69f8ac5c6a4bd9bd1e6330ef2a3a6605.jpg, 0, 1, 0, 0
D-16_jpg.rf.69fd0380e7f756ab3d558dc178a4e765.jpg, 1, 0, 0, 0
N-111_jpg.rf.693c4e8b73afdbce0eaf9d3b827ed4f3.jpg, 0, 0, 1, 0
SP-49_jpg.rf.6a022d40bdadec08efc1fc1ca1c21001.jpg, 0, 0, 0, 1
LW-47_jpg.rf.69e485a01f1c292f591af8330139a3b8.jpg, 0, 1, 0, 0
SP-15_jpg.rf.6959aca74a027f85d3fa9b42adae76e4.jpg, 0, 0, 0, 1
D-92_jpg.rf.6a070b5ccfe6c56f2f5539de38d9c63b.jpg, 1, 0, 0, 0
SP-16_jpg.rf.6979fc67812ca27da4c906086824d183.jpg, 0, 0, 0, 1
D-84_jpg.rf.699cfa78e841dcfde42ec1d1c9f4dfe4.jpg, 1, 0, 0, 0
D-86_jpg.rf.69a72ef03b812fe584c8ef263aa46626.jpg, 1, 0, 0, 0
N-93_jpg.rf.69ad8a2ea9baee36dd49992e6b5b2b85.jpg, 0, 0, 1, 0
D-21_jpg.rf.69f07cf0dc2a25906f518e7b37419fb8.jpg, 1, 0, 0, 0
D-20_jpg.rf.69fa28d7080d98c3a24e7c177e0bec46.jpg, 1, 0, 0, 0
LW-165_jpg.rf.69bafb4d4bd5adc95751780ab5a884d0.jpg, 0, 1, 0, 0
LW-73_jpg.rf.69cf552dd7479f0ad6f4fd5c4696441d.jpg, 0, 1, 0, 0
LW-180_jpg.rf.69406fae653690e58df117d00af632b4.jpg, 0, 1, 0, 0
D-167_jpg.rf.6a0ef706866bed01a08b0e464433429e.jpg, 1, 0, 0, 0
LW-205_jpg.rf.6904c8a9285ecdae67b3ce197c82bdcb.jpg, 0, 1, 0, 0
N-14_jpg.rf.6a0b393fabc7e8f5b53943664aeadfca.jpg, 0, 0, 1, 0
LW-204_jpg.rf.69fb2ef4e3c00b1b9faa122abf46911a.jpg, 0, 1, 0, 0
N-47_jpg.rf.6a2ce3006c55c0fe7235be57612e36cc.jpg, 0, 0, 1, 0
